2026-05-21 19:50:21.409 +03 [18448] STATEMENT:  DELETE FROM "public"."audit_logs" WHERE 1=1
2026-05-21 19:50:21.443 +03 [18448] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-21 19:50:21.920 +03 [22396] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-21 19:50:22.281 +03 [13248] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-22 00:43:41.060 +03 [30228] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-22 00:43:41.060 +03 [30296] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-22 00:43:41.061 +03 [30280] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-22 00:43:41.064 +03 [30248] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-22 00:44:06.869 +03 [24168] LOG:  checkpoint starting: time
2026-05-22 00:46:24.813 +03 [24168] LOG:  checkpoint complete: wrote 1208 buffers (7.4%), wrote 3 SLRU buffers; 1 WAL file(s) added, 0 removed, 0 recycled; write=136.470 s, sync=1.190 s, total=137.949 s; sync files=404, longest=0.019 s, average=0.003 s; distance=6574 kB, estimate=6574 kB; lsn=0/1E5CCB0, redo lsn=0/1E5CC20
2026-05-22 00:49:06.840 +03 [24168] LOG:  checkpoint starting: time
2026-05-22 00:49:07.553 +03 [24168] LOG:  checkpoint complete: wrote 6 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.668 s, sync=0.021 s, total=0.714 s; sync files=6, longest=0.006 s, average=0.004 s; distance=14 kB, estimate=5918 kB; lsn=0/1E60488, redo lsn=0/1E60430
2026-05-22 00:50:08.193 +03 [11168] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-22 00:50:08.193 +03 [30648] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-22 00:50:08.193 +03 [30652] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-22 00:50:08.194 +03 [32152] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-22 00:54:57.172 +03 [15544] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-22 00:54:57.172 +03 [32572] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-22 00:54:57.172 +03 [28252] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-22 00:54:57.172 +03 [29704] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-22 00:59:06.578 +03 [24168] LOG:  checkpoint starting: time
2026-05-22 00:59:08.882 +03 [24168] LOG:  checkpoint complete: wrote 20 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.229 s, sync=0.043 s, total=2.309 s; sync files=20, longest=0.004 s, average=0.003 s; distance=49 kB, estimate=5331 kB; lsn=0/1E6CA40, redo lsn=0/1E6C9E8
2026-05-22 01:14:06.917 +03 [24168] LOG:  checkpoint starting: time
2026-05-22 01:14:07.289 +03 [24168] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.331 s, sync=0.011 s, total=0.377 s; sync files=4, longest=0.004 s, average=0.003 s; distance=7 kB, estimate=4799 kB; lsn=0/1E6E7C0, redo lsn=0/1E6E768
2026-05-22 01:19:06.291 +03 [24168] LOG:  checkpoint starting: time
2026-05-22 01:19:07.392 +03 [24168] LOG:  checkpoint complete: wrote 9 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.984 s, sync=0.074 s, total=1.102 s; sync files=10, longest=0.019 s, average=0.008 s; distance=17 kB, estimate=4321 kB; lsn=0/1E72E00, redo lsn=0/1E72DA8
2026-05-22 01:24:06.406 +03 [24168] LOG:  checkpoint starting: time
2026-05-22 01:24:07.207 +03 [24168] LOG:  checkpoint complete: wrote 7 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.761 s, sync=0.022 s, total=0.802 s; sync files=8, longest=0.005 s, average=0.003 s; distance=15 kB, estimate=3890 kB; lsn=0/1E76BE0, redo lsn=0/1E76B88
2026-05-22 01:29:06.208 +03 [24168] LOG:  checkpoint starting: time
2026-05-22 01:29:06.598 +03 [24168] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.339 s, sync=0.009 s, total=0.390 s; sync files=4, longest=0.003 s, average=0.003 s; distance=7 kB, estimate=3502 kB; lsn=0/1E78A80, redo lsn=0/1E78A28
2026-05-22 01:39:06.619 +03 [24168] LOG:  checkpoint starting: time
2026-05-22 01:39:06.970 +03 [24168] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.328 s, sync=0.008 s, total=0.352 s; sync files=4, longest=0.003 s, average=0.002 s; distance=7 kB, estimate=3152 kB; lsn=0/1E7A9A8, redo lsn=0/1E7A950
2026-05-22 01:49:07.008 +03 [24168] LOG:  checkpoint starting: time
2026-05-22 01:49:07.477 +03 [24168] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.434 s, sync=0.014 s, total=0.485 s; sync files=5, longest=0.004 s, average=0.003 s; distance=1 kB, estimate=2837 kB; lsn=0/1E7B1A0, redo lsn=0/1E7B148
2026-05-22 01:54:06.484 +03 [24168] LOG:  checkpoint starting: time
2026-05-22 01:54:06.858 +03 [24168] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.333 s, sync=0.012 s, total=0.375 s; sync files=4, longest=0.004 s, average=0.003 s; distance=8 kB, estimate=2554 kB; lsn=0/1E7D1C8, redo lsn=0/1E7D170
2026-05-22 02:09:06.876 +03 [24168] LOG:  checkpoint starting: time
2026-05-22 02:09:07.232 +03 [24168] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.330 s, sync=0.011 s, total=0.357 s; sync files=4, longest=0.004 s, average=0.003 s; distance=8 kB, estimate=2300 kB; lsn=0/1E7F2E0, redo lsn=0/1E7F288
2026-05-22 02:19:06.254 +03 [24168] LOG:  checkpoint starting: time
2026-05-22 02:19:06.655 +03 [24168] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.345 s, sync=0.011 s, total=0.408 s; sync files=4, longest=0.004 s, average=0.003 s; distance=9 kB, estimate=2071 kB; lsn=0/1E81968, redo lsn=0/1E81910
2026-05-22 02:24:06.672 +03 [24168] LOG:  checkpoint starting: time
2026-05-22 02:24:07.030 +03 [24168] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.327 s, sync=0.011 s, total=0.359 s; sync files=4, longest=0.004 s, average=0.003 s; distance=10 kB, estimate=1864 kB; lsn=0/1E84320, redo lsn=0/1E84290
2026-05-22 02:29:06.045 +03 [24168] LOG:  checkpoint starting: time
2026-05-22 02:29:06.418 +03 [24168] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.338 s, sync=0.011 s, total=0.373 s; sync files=4, longest=0.003 s, average=0.003 s; distance=10 kB, estimate=1679 kB; lsn=0/1E86D40, redo lsn=0/1E86CE8
2026-05-22 02:34:06.424 +03 [24168] LOG:  checkpoint starting: time
2026-05-22 02:34:06.814 +03 [24168] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.335 s, sync=0.029 s, total=0.391 s; sync files=4, longest=0.019 s, average=0.008 s; distance=10 kB, estimate=1512 kB; lsn=0/1E896E0, redo lsn=0/1E89688
2026-05-22 02:39:06.825 +03 [24168] LOG:  checkpoint starting: time
