
> enterprise-auth-backend@1.0.0 dev
> nodemon --exec "ts-node --transpile-only" src/server.ts

[33m[nodemon] 3.1.11[39m
[33m[nodemon] to restart at any time, enter `rs`[39m
[33m[nodemon] watching path(s): src\**\* prisma\**\*[39m
[33m[nodemon] watching extensions: ts,json[39m
[32m[nodemon] starting `ts-node --transpile-only src/server.ts`[39m
🚀 Server running on port 5000
📱 Environment: development
[Scheduler] Auto-complete scheduler started (runs every minute)
[Cron] Session reminder job registered (every 30 min).
[Announcement-Scheduler] Worker started (every 60 seconds)
[2026-06-02T16:32:40.087Z] GET /api/institute/halls/bookings
[2026-06-02T16:32:40.095Z] GET /api/institute/students
[2026-06-02T16:32:40.111Z] GET /api/institute/enrollments
[2026-06-02T16:32:40.115Z] GET /api/institute/students
[2026-06-02T16:32:40.124Z] GET /api/institute/enrollments
[2026-06-02T16:32:43.379Z] GET /uploads/Webp.net-resizeimage_2-1779743050010-613101422.jpg
[2026-06-02T16:32:52.636Z] OPTIONS /api/notifications/unread-count
[2026-06-02T16:32:52.639Z] GET /api/notifications/unread-count
[2026-06-02T16:32:59.408Z] OPTIONS /api/institute/enrollments
[2026-06-02T16:32:59.419Z] OPTIONS /api/institute/halls/bookings
[2026-06-02T16:32:59.421Z] OPTIONS /api/institute/courses
[2026-06-02T16:32:59.426Z] OPTIONS /api/institute/courses
[2026-06-02T16:32:59.432Z] GET /api/institute/enrollments
[2026-06-02T16:32:59.435Z] GET /api/institute/halls/bookings
[2026-06-02T16:32:59.442Z] GET /api/institute/courses
[2026-06-02T16:32:59.465Z] GET /api/institute/courses
[2026-06-02T16:32:59.507Z] GET /uploads/A2-1780248525110-108301888.png
[2026-06-02T16:32:59.511Z] GET /uploads/ad-1780170078820-839866131.png
[2026-06-02T16:32:59.512Z] GET /uploads/%C3%99%C2%83%C3%99%C2%88%C3%98%C2%B1%C3%98%C2%B3%C3%98%C2%A7%C3%98%C2%AA-%C3%98%C2%AA%C3%98%C2%B9%C3%99%C2%84%C3%99%C2%85-%C3%98%C2%A7%C3%99%C2%84%C3%99%C2%84%C3%98%C2%BA%C3%98%C2%A9-%C3%98%C2%A7%C3%99%C2%84%C3%98%C2%A5%C3%99%C2%86%C3%98%C2%AC%C3%99%C2%84%C3%99%C2%8A%C3%98%C2%B2%C3%99%C2%8A%C3%98%C2%A9-%C3%99%C2%84%C3%99%C2%84%C3%99%C2%85%C3%98%C2%A8%C3%98%C2%AA%C3%98%C2%AF%C3%98%C2%A6%C3%99%C2%8A%C3%99%C2%86-1-1600x900-1780200698381-336098380.png
[2026-06-02T16:32:59.513Z] GET /uploads/ChatGPT%20Image%2016%20%C3%99%C2%85%C3%98%C2%A7%C3%99%C2%8A%C3%99%C2%88%202026%C3%98%C2%8C%2004_08_40%20%C3%98%C2%B5-1780006679142-300227095.png
[2026-06-02T16:33:06.390Z] OPTIONS /api/auth/logout
[2026-06-02T16:33:06.393Z] POST /api/auth/logout
[2026-06-02T16:33:06.478Z] GET /api/public/stats
[2026-06-02T16:33:06.481Z] GET /api/public/categories
[2026-06-02T16:33:06.483Z] GET /api/public/featured-courses
