2026-05-30 09:20:34.297 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.332 s, sync=0.012 s, total=0.389 s; sync files=4, longest=0.004 s, average=0.003 s; distance=14 kB, estimate=16 kB; lsn=0/262E720, redo lsn=0/262E6C8
2026-05-30 09:35:33.320 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 09:35:33.681 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.331 s, sync=0.013 s, total=0.362 s; sync files=4, longest=0.004 s, average=0.004 s; distance=15 kB, estimate=16 kB; lsn=0/2632380, redo lsn=0/2632328
2026-05-30 09:50:33.716 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 09:50:34.071 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.328 s, sync=0.011 s, total=0.356 s; sync files=4, longest=0.003 s, average=0.003 s; distance=15 kB, estimate=16 kB; lsn=0/26360D0, redo lsn=0/2636078
2026-05-30 10:05:33.092 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 10:05:33.467 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.330 s, sync=0.013 s, total=0.376 s; sync files=4, longest=0.004 s, average=0.004 s; distance=15 kB, estimate=16 kB; lsn=0/2639F08, redo lsn=0/2639EB0
2026-05-30 10:20:33.482 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 10:20:33.854 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.326 s, sync=0.011 s, total=0.373 s; sync files=4, longest=0.004 s, average=0.003 s; distance=15 kB, estimate=16 kB; lsn=0/263DE48, redo lsn=0/263DDF0
2026-05-30 10:35:33.873 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 10:35:34.247 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.331 s, sync=0.014 s, total=0.374 s; sync files=4, longest=0.004 s, average=0.004 s; distance=16 kB, estimate=16 kB; lsn=0/2641EC0, redo lsn=0/2641E30
2026-05-30 12:08:55.383 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 12:08:55.739 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.322 s, sync=0.011 s, total=0.357 s; sync files=4, longest=0.004 s, average=0.003 s; distance=16 kB, estimate=16 kB; lsn=0/2645FF0, redo lsn=0/2645F98
2026-05-30 15:57:13.872 +03 [14340] LOG:  checkpoint starting: time
2026-05-30 15:57:14.241 +03 [14340] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.335 s, sync=0.012 s, total=0.373 s; sync files=4, longest=0.004 s, average=0.003 s; distance=16 kB, estimate=16 kB; lsn=0/264A238, redo lsn=0/264A1E0
2026-05-30 16:02:13.250 +03 [14340] LOG:  checkpoint starting: time
