2026-05-25 19:22:53.152 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.335 s, sync=0.011 s, total=0.391 s; sync files=4, longest=0.004 s, average=0.003 s; distance=14 kB, estimate=14 kB; lsn=0/228BD40, redo lsn=0/228BCE8
2026-05-25 19:32:52.188 +03 [16804] LOG:  checkpoint starting: time
2026-05-25 19:32:52.545 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.327 s, sync=0.011 s, total=0.374 s; sync files=4, longest=0.004 s, average=0.003 s; distance=14 kB, estimate=14 kB; lsn=0/228F7C8, redo lsn=0/228F770
2026-05-25 19:37:52.548 +03 [16804] LOG:  checkpoint starting: time
2026-05-25 19:37:53.371 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.328 s, sync=0.176 s, total=0.823 s; sync files=4, longest=0.047 s, average=0.044 s; distance=14 kB, estimate=14 kB; lsn=0/2293348, redo lsn=0/22932F0
2026-05-25 19:52:52.407 +03 [16804] LOG:  checkpoint starting: time
2026-05-25 19:52:52.781 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.327 s, sync=0.013 s, total=0.375 s; sync files=4, longest=0.004 s, average=0.004 s; distance=15 kB, estimate=15 kB; lsn=0/2296FB8, redo lsn=0/2296F60
2026-05-25 19:57:52.797 +03 [16804] LOG:  checkpoint starting: time
2026-05-25 19:57:53.163 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.326 s, sync=0.019 s, total=0.366 s; sync files=4, longest=0.011 s, average=0.005 s; distance=15 kB, estimate=15 kB; lsn=0/229AD20, redo lsn=0/229ACC8
2026-05-25 20:07:52.186 +03 [16804] LOG:  checkpoint starting: time
2026-05-25 20:07:52.566 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.334 s, sync=0.020 s, total=0.383 s; sync files=4, longest=0.010 s, average=0.005 s; distance=16 kB, estimate=16 kB; lsn=0/229EDE8, redo lsn=0/229ED58
2026-05-25 20:12:52.582 +03 [16804] LOG:  checkpoint starting: time
2026-05-25 20:12:52.957 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.326 s, sync=0.012 s, total=0.375 s; sync files=4, longest=0.004 s, average=0.003 s; distance=16 kB, estimate=16 kB; lsn=0/22A3060, redo lsn=0/22A3008
2026-05-25 20:27:52.978 +03 [16804] LOG:  checkpoint starting: time
2026-05-25 20:27:53.367 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.327 s, sync=0.011 s, total=0.391 s; sync files=4, longest=0.004 s, average=0.003 s; distance=16 kB, estimate=16 kB; lsn=0/22A72F0, redo lsn=0/22A7298
2026-05-25 20:42:52.399 +03 [16804] LOG:  checkpoint starting: time
2026-05-25 20:42:53.577 +03 [16804] LOG:  checkpoint complete: wrote 10 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.125 s, sync=0.031 s, total=1.179 s; sync files=8, longest=0.016 s, average=0.004 s; distance=68 kB, estimate=68 kB; lsn=0/22B84B8, redo lsn=0/22B8460
2026-05-25 20:57:52.604 +03 [16804] LOG:  checkpoint starting: time
2026-05-25 20:57:53.207 +03 [16804] LOG:  checkpoint complete: wrote 5 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.552 s, sync=0.019 s, total=0.618 s; sync files=6, longest=0.005 s, average=0.004 s; distance=16 kB, estimate=63 kB; lsn=0/22BC688, redo lsn=0/22BC630
2026-05-25 21:12:52.313 +03 [16804] LOG:  checkpoint starting: time
2026-05-25 21:12:52.690 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.338 s, sync=0.017 s, total=0.379 s; sync files=4, longest=0.008 s, average=0.005 s; distance=9 kB, estimate=57 kB; lsn=0/22BEC78, redo lsn=0/22BEC20
2026-05-25 21:22:52.746 +03 [16804] LOG:  checkpoint starting: time
2026-05-25 21:22:53.102 +03 [16804] LOG:  checkpoint complete: wrote 3 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.326 s, sync=0.010 s, total=0.372 s; sync files=4, longest=0.003 s, average=0.003 s; distance=9 kB, estimate=53 kB; lsn=0/22C1360, redo lsn=0/22C1308
2026-05-25 21:32:52.124 +03 [16804] LOG:  checkpoint starting: time
